Date,Code région,Season,Période,Day_type,Total énergie soutirée (MWh),Conso_1pt (KWh),Région
2022-07-27,32,Summer,période 2,School Holidays,26003.82268,314.183076593185,Hauts-de-France
2022-07-28,24,Summer,période 2,School Holidays,13657.909824,328.4444927199576,Centre-Val de Loire
2022-07-28,32,Summer,période 2,School Holidays,25954.502062,317.44864653445967,Hauts-de-France
2022-07-29,24,Summer,période 2,School Holidays,13588.764124,326.6938793653675,Centre-Val de Loire
2022-07-29,32,Summer,période 2,School Holidays,25823.219514,315.7305976430235,Hauts-de-France
2022-07-30,24,Summer,période 2,Week-end,13614.00202,308.8650475773612,Centre-Val de Loire
2022-07-30,32,Summer,période 2,Week-end,25880.7538,298.88036864969104,Hauts-de-France
2022-07-31,24,Summer,période 2,Week-end,13546.34845,298.7827235889836,Centre-Val de Loire
2022-07-31,32,Summer,période 2,Week-end,25800.939213,291.96248586139967,Hauts-de-France
2022-08-01,24,Summer,période 2,School Holidays,13845.262866000001,314.5163866548708,Centre-Val de Loire
2022-08-01,32,Summer,période 2,School Holidays,26362.17674,312.11322880109736,Hauts-de-France
2022-08-02,24,Summer,période 2,School Holidays,14003.95378,324.4734840878649,Centre-Val de Loire
2022-08-02,32,Summer,période 2,School Holidays,26660.153485,320.5218755759503,Hauts-de-France
2022-08-03,24,Summer,période 2,School Holidays,14262.861327,329.414043155759,Centre-Val de Loire
2022-08-03,32,Summer,période 2,School Holidays,27185.408622,324.895897647817,Hauts-de-France
2022-08-04,24,Summer,période 2,School Holidays,14236.952511,326.4511667361961,Centre-Val de Loire
2022-08-04,32,Summer,période 2,School Holidays,27168.229271,323.33701289408464,Hauts-de-France
2022-08-05,24,Summer,période 2,School Holidays,13986.796105,318.4997675734826,Centre-Val de Loire
2022-08-05,32,Summer,période 2,School Holidays,26697.679975,316.32203446471226,Hauts-de-France
2022-08-06,24,Summer,période 2,Week-end,13639.539155,299.553932871922,Centre-Val de Loire
2022-08-06,32,Summer,période 2,Week-end,26034.835168,298.33511579841115,Hauts-de-France
2022-08-07,24,Summer,période 2,Week-end,13362.552765,290.05017007163275,Centre-Val de Loire
2022-08-07,32,Summer,période 2,Week-end,25556.686978,293.4042559009728,Hauts-de-France
2022-08-08,24,Summer,période 2,School Holidays,13507.226061,304.67770116510593,Centre-Val de Loire
2022-08-08,32,Summer,période 2,School Holidays,25807.579537,303.4298152363972,Hauts-de-France
2022-08-09,24,Summer,période 2,School Holidays,13643.043542,315.3252836555766,Centre-Val de Loire
2022-08-09,32,Summer,période 2,School Holidays,26092.407726,314.294206639538,Hauts-de-France
2022-08-10,24,Summer,période 2,School Holidays,13781.022949,316.75654357496416,Centre-Val de Loire
2022-08-10,32,Summer,période 2,School Holidays,26428.470260000002,317.4887927555362,Hauts-de-France
2022-08-11,24,Summer,période 2,School Holidays,13895.358949,317.25243994273745,Centre-Val de Loire
2022-08-11,32,Summer,période 2,School Holidays,26665.289233,318.54598533160237,Hauts-de-France
2022-08-12,24,Summer,période 2,School Holidays,14106.372564,316.97283582284166,Centre-Val de Loire
2022-08-12,32,Summer,période 2,School Holidays,27102.519252000002,320.61310032378896,Hauts-de-France
2022-08-13,24,Summer,période 2,Week-end,13811.792103,299.75644215884915,Centre-Val de Loire
2022-08-13,32,Summer,période 2,Week-end,26618.625751,304.857931277885,Hauts-de-France
2022-08-14,24,Summer,période 2,Week-end,13155.119857,280.8468018332993,Centre-Val de Loire
2022-08-14,32,Summer,période 2,Week-end,25403.411636,290.9027564043953,Hauts-de-France
2022-08-15,24,Summer,période 2,National Holidays,12999.484669,281.41590078491197,Centre-Val de Loire
